0;0;2;0;0;
0;1;2;0;0;
0;2;2;0;0;
0;10;8;0;0;
0;11;3;2;0;
1;0;2;0;0;
1;1;2;0;0;
1;9;1;2;0;
1;10;8;0;0;
1;11;8;0;0;
2;0;2;0;0;
2;9;1;2;0;
2;10;8;0;0;
2;11;8;0;0;
3;10;8;0;0;
3;11;8;0;0;
4;0;5;0;0;
4;8;0;0;0;
4;9;2;1;0;
4;10;8;0;0;
4;11;8;0;0;
5;0;5;0;0;
5;8;0;0;0;
5;9;2;1;0;
5;10;8;0;0;
5;11;8;0;0;
6;0;5;0;0;
6;8;0;0;0;
6;9;2;1;0;
6;10;8;0;0;
6;11;8;0;0;
7;0;5;0;0;
7;10;8;0;0;
7;11;3;2;0;
8;0;5;0;0;
8;5;0;2;0;
8;6;0;2;0;
8;10;8;0;0;
8;11;2;2;0;
9;0;5;0;0;
9;4;0;2;0;
9;5;8;0;0;
9;6;8;0;0;
9;7;8;0;0;
9;10;8;0;0;
9;11;2;2;0;
10;0;5;0;0;
10;3;8;0;0;
10;4;8;0;0;
10;5;0;1;0;
10;6;2;2;0;
10;10;8;0;0;
10;11;2;2;0;
11;0;5;0;0;
11;2;0;2;0;
11;3;0;2;0;
11;4;8;0;0;
11;5;8;0;0;
11;6;2;2;0;
11;7;2;2;0;
11;8;2;2;0;
11;9;2;2;0;
11;10;8;0;0;
11;11;2;2;0;
12;0;5;0;0;
12;3;8;0;0;
12;4;0;1;0;
12;5;2;2;0;
12;6;2;2;0;
12;7;2;2;0;
12;8;2;2;0;
12;9;2;2;0;
12;10;8;0;0;
12;11;2;2;0;
13;0;5;0;0;
13;4;8;0;0;
13;5;8;0;0;
13;6;0;1;0;
13;7;8;0;0;
13;10;8;0;0;
13;11;2;2;0;
14;0;5;0;0;
14;5;0;2;0;
14;6;8;0;0;
14;7;0;2;0;
14;10;8;0;0;
14;11;2;2;0;
15;0;5;0;0;
15;10;8;0;0;
15;11;2;2;0;
16;0;5;0;0;
16;10;8;0;0;
16;11;2;2;0;
17;0;5;0;0;
17;7;7;0;0;
17;10;8;0;0;
17;11;2;2;0;
18;0;5;0;0;
18;6;6;0;0;
18;7;8;1;0;
18;8;8;1;0;
18;9;6;1;0;
18;10;8;0;0;
18;11;2;2;0;
19;0;5;0;0;
19;10;8;0;0;
19;11;2;2;0;
20;0;5;0;0;
20;10;8;0;0;
20;11;2;2;0;
21;0;5;0;0;
21;4;3;2;0;
21;5;3;2;0;
21;6;3;2;0;
21;7;3;2;0;
21;8;3;2;0;
21;9;3;2;0;
21;10;8;0;0;
21;11;2;2;0;
22;0;5;0;0;
22;3;3;2;0;
22;4;3;2;0;
22;5;3;2;0;
22;6;4;1;0;
22;7;4;2;0;
22;8;4;2;0;
22;9;4;2;0;
22;10;8;0;0;
22;11;2;2;0;
23;0;5;0;0;
23;2;3;2;0;
23;3;3;2;0;
23;4;3;2;0;
23;5;3;2;0;
23;6;5;2;0;
23;7;5;2;0;
23;8;5;2;0;
23;9;5;2;0;
23;10;8;0;0;
23;11;2;2;0;
24;0;5;0;0;
24;2;3;2;0;
24;3;3;2;0;
24;4;3;2;0;
24;5;3;2;0;
24;6;5;2;0;
24;7;5;2;0;
24;8;5;2;0;
24;9;5;2;0;
24;10;8;0;0;
24;11;2;2;0;
